Station Number,URSI code,Station Name,Lat,Lon
1,AH223,AHMEDABAD,23,72.5
2,DH224,AL DHAFRA AFB,24.24,54.58
3,AL945,ALPENA,45.07,276.44
4,AN438,ANYANG,37.39,126.95
5,AS00Q,ASCENSION ISLAND,-7.95,345.6
6,AT138,ATHENS,38,23.5
7,AU930,AUSTIN,30.4,262.3
8,AW426,AWASE,26.32,127.84
9,BP440,BEIJING,40.3,116.2
10,BLJ03,BELEM,1.43,311.56
11,BJJ32,BERMUDA,32.4,295.3
12,BVJ03,BOA VISTA,2.8,299.3
13,BC840,BOULDER,40,254.7
14,BR52P,BRISBANE,-27.06,153.06
15,BV53Q,BUNDOORA,-37.7,145.05
16,CXM9B,CACHIMBO,-9.5,305.2
17,CAJ2M,CACHOEIRA PAULISTA,-22.7,315
18,CN53L,CAMDEN,-34.05,150.67
19,CGK21,CAMPO GRANDE,-20.5,305
20,CB53N,CANBERRA,-35.32,149
21,CH833,CHERRY,32.9,253.59
22,RL052,CHILTON,51.5,359.4
23,CL424,CHUNG-LI,25,121.2
24,CS31K,COCOS_ISLAND,-12.18,96.83
25,CO764,COLLEGE AK,64.9,212
26,CS839,COLORADO_SPRINGS,39,255.12
27,DW41K,DARWIN,-12.45,130.95
28,DB049,DOURBES,50.1,4.6
29,DS932,DYESS AFB,32.4,260.2
30,EA653,EARECKSON,52.73,185.92
31,EG931,EGLIN AFB,30.5,273.5
32,EI764,EIELSON,64.66,212.93
33,TR170,EISCAT TROMSO,69.58,19.22
34,EA036,EL ARENOSILLO,37.1,353.3
35,MO156,ELEKTROUGLI,55.76,38.28
36,FF051,FAIRFORD,51.7,358.5
37,FZA0M,FORTALEZA,-3.9,321.6
38,GA313,GADANKI,13.46,79.17
39,GA762,GAKONA,62.38,215
40,GM037,GIBILMANNA,37.9,14
41,GSJ53,GOOSE BAY,53.3,299.7
42,GR13L,GRAHAMSTOWN,-33.3,26.5
43,GU513,GUAM,13.62,144.86
44,HA419,HAINAN,19.4,109
45,HAJ43,HANSCOM AFB,42.5,288.7
46,HE13N,HERMANUS,-34.42,19.22
47,HO54K,HOBART,-42.92,147.32
48,IC437,I-CHEON,37.14,127.54
49,AC843,IDAHO NATIONAL LAB,43.81,247.32
50,IF843,IDAHO NATIONAL LAB,43.81,247.32
51,IL008,ILORIN,8.5,4.5
52,IR352,IRKUTSK,52.4,104.3
53,JB57N,JANG BOGO,-74.62,164.24
54,JJ433,JEJU,33.43,126.3
55,JI91J,JICAMARCA,-12,283.2
56,JR055,JULIUSRUH,54.6,13.4
57,KL154,KALININGRAD,54.36,20.12
58,KI939,KENT IS,38.96,283.72
59,KB547,KHABAROVSK,47.52,134.77
60,KS759,KING SALMON,58.4,203.6
61,KR835,KIRTLAND,35,253.47
62,KI167,KIRUNA SWEDEN,67.86,20.43
63,TO535,KOKUBUNJI,35.7,139.5
64,KJ609,KWAJALEIN,9,167.2
65,LAA38,LAJES TERCEIRA ISLAND,38.77,332.91
66,LA42Q,LAVERTON,-28.3,122.8
67,LM42B,LEARMONTH,-21.8,114.1
68,LV12P,LOUISVALE,-28.5,21.2
69,LL721,LUALUALEI,21.43,201.85
70,MU12K,MADIMBO,-22.39,30.88
71,MA560,MAGADAN,60.09,150.93
72,ML10L,MALINDI,-3.1,40.7
73,ME929,MELROSE,29.71,278
74,MHJ45,MILLSTONE HILL,42.6,288.5
75,MI540,MISAWA,40.71,141.38
76,MH453,MOHE,52,122.52
77,MA155,MOSCOW,55.49,37.29
78,MO155,MOSCOW,55.47,37.3
79,MU230,MULTAN,33.03,72.01
80,MU834,MUNYO,33.56,253.35
81,NQJ61,NARSSARSSUAQ,61.2,314.6
82,NI135,NICOSIA,35.03,33.16
83,ND61R,NIUE,-19.07,190.07
84,NDA81,NORD GREENLAND,81.4,342.5
85,NI63_,NORFOLK,-29.03,167.97
86,NO369,NORILSK,69.2,88
87,NV355,NOVOSIBIRSK,55.02,82.21
88,OK426,OKINAWA,26.68,128.15
89,OL246,OLSZTYN,53.8,20.5
90,SN437,OSAN AB,37.1,127
91,PE43K,PERTH,-32,116.13
92,PK553,PETROPAVLOVSK,52.97,158.24
93,PF765,POKER FLAT,65.13,212.55
94,PSJ5J,PORT STANLEY,-51.6,302.1
95,PQ052,PRUHONICE,50,14.6
96,PA836,PT ARGUELLO,34.8,239.5
97,SJJ18,PUERTO RICO,18.11,293.75
98,PRJ18,RAMEY,18.5,292.9
99,RM041,ROME,41.8,12.5
100,RO041,ROME,41.9,12.5
101,EB040,ROQUETES,40.8,0.5
102,RV149,ROSTOV,47.24,39.63
103,SH266,SALEKHARD,66.51,66.66
104,VT139,SAN VITO,40.6,17.8
105,SMK29,SANTA MARIA,-29.73,306.29
106,SA418,SANYA,18.34,109.42
107,SAA0K,SAOLUIS,-2.6,315.8
108,SMJ67,SONDRESTROM,66.98,309.06
109,SO148,SOPRON,47.63,16.72
110,SH42_,SOUTH HEDLAND,-20.4,118.5
111,SQ832,SQUIRT,32.42,253.71
112,LD160,ST. PETERSBURG,60,30.7
113,THJ76,THULE,76.54,291.56
114,THJ77,THULE/QAANAAQ,77.5,290.8
115,TV51R,TOWNSVILLE,-19.63,146.85
116,TM308,TRIVANDRUM,8.54,76.87
117,TR0P2,TROLL,-72.01,2.53
118,TR169,TROMSO,69.6,19.2
119,TUJ2O,TUCUMAN,-26.9,294.6
120,TNJ20,TUCUMAN AIS-INGV,-26.9,294.6
121,TZ362,TUNGUSKA,61.58,90.02
122,WA619,WAKE,19.29,166.65
123,WP937,WALLOPS IS,37.9,284.5
124,WI937,WALLOPS ISLAND,37.94,284.42
125,MZ152,WARSAW,52.2,21.1
126,WU430,WUHAN,30.5,114.4
127,XI434,XINXIANG CHINA,35.3,113.92
128,YA462,YAKUTSK,62,129.6
129,ZH466,ZHIGANSK,66.8,123.4
130,ZS36R,ZHONG SHAN,-69.4,76.4
